x_L,Cf
1.3872,0.00026412
1.3947,0.00031399
1.4023,0.00036274
1.4098,0.00041041
1.4173,0.00045702
1.4248,0.00050258
1.4323,0.00054713
1.4398,0.00059069
1.4474,0.00063328
1.4549,0.00067491
1.4624,0.00071562
1.4699,0.00075542
1.4774,0.00079433
1.4850,0.00083237
1.4925,0.00086956
1.5000,0.00090593
1.5075,0.00094148
1.5150,0.00097624
1.5226,0.00101023
1.5301,0.00104346
1.5376,0.00107594
1.5451,0.00110771
1.5526,0.00113876
1.5602,0.00116912
1.5677,0.00119880
1.5752,0.00122783
1.5827,0.00125620
1.5902,0.00128394
1.5977,0.00131107
1.6053,0.00133758
1.6128,0.00136351
1.6203,0.00138886
1.6278,0.00141364
1.6353,0.00143787
1.6429,0.00146156
1.6504,0.00148472
1.6579,0.00150737
1.6654,0.00152951
1.6729,0.00155115
1.6805,0.00157231
1.6880,0.00159301
1.6955,0.00161324
1.7030,0.00163301
1.7105,0.00165235
1.7180,0.00167126
1.7256,0.00168974
1.7331,0.00170781
1.7406,0.00172548
1.7481,0.00174276
1.7556,0.00175965
1.7632,0.00177616
1.7707,0.00179230
1.7782,0.00180809
1.7857,0.00182352
1.7932,0.00183861
1.8008,0.00185336
1.8083,0.00186778
1.8158,0.00188188
1.8233,0.00189567
1.8308,0.00190915
1.8383,0.00192233
1.8459,0.00193521
1.8534,0.00194781
1.8609,0.00196012
1.8684,0.00197217
1.8759,0.00198394
1.8835,0.00199545
1.8910,0.00200670
1.8985,0.00201770
1.9060,0.00202846
1.9135,0.00203898
1.9211,0.00204926
1.9286,0.00205931
1.9361,0.00206914
1.9436,0.00207875
1.9511,0.00208815
1.9586,0.00209733
1.9662,0.00210632
1.9737,0.00211510
1.9812,0.00212368
1.9887,0.00213207
1.9962,0.00214028
2.0038,0.00214830
2.0113,0.00215615
2.0188,0.00216382
2.0263,0.00217132
2.0338,0.00217865
2.0414,0.00218581
2.0489,0.00219282
2.0564,0.00219967
2.0639,0.00220637
2.0714,0.00221292
2.0789,0.00221932
2.0865,0.00222558
2.0940,0.00223170
2.1015,0.00223769
2.1090,0.00224354
2.1165,0.00224926
2.1241,0.00225485
2.1316,0.00226032
2.1391,0.00226566
2.1466,0.00227089
2.1541,0.00227600
2.1617,0.00228100
2.1692,0.00228588
2.1767,0.00229066
2.1842,0.00229533
2.1917,0.00229989
2.1992,0.00230436
2.2068,0.00230872
2.2143,0.00231298
2.2218,0.00231716
2.2293,0.00232123
2.2368,0.00232522
2.2444,0.00232912
2.2519,0.00233293
2.2594,0.00233666
2.2669,0.00234030
2.2744,0.00234386
2.2820,0.00234734
2.2895,0.00235075
2.2970,0.00235408
2.3045,0.00235733
2.3120,0.00236052
2.3195,0.00236363
2.3271,0.00236667
2.3346,0.00236964
2.3421,0.00237255
2.3496,0.00237539
2.3571,0.00237817
2.3647,0.00238089
2.3722,0.00238355
2.3797,0.00238614
2.3872,0.00238868
2.3947,0.00239116
2.4023,0.00239359
2.4098,0.00239597
2.4173,0.00239829
2.4248,0.00240055
2.4323,0.00240277
2.4398,0.00240494
2.4474,0.00240706
2.4549,0.00240913
2.4624,0.00241116
2.4699,0.00241314
2.4774,0.00241508
2.4850,0.00241697
2.4925,0.00241883
2.5000,0.00242064
