x_L,Cf
1.4023,0.00080668
1.4098,0.00083776
1.4173,0.00086814
1.4248,0.00089784
1.4323,0.00092689
1.4398,0.00095528
1.4474,0.00098304
1.4549,0.00101019
1.4624,0.00103672
1.4699,0.00106267
1.4774,0.00108804
1.4850,0.00111284
1.4925,0.00113709
1.5000,0.00116079
1.5075,0.00118397
1.5150,0.00120663
1.5226,0.00122879
1.5301,0.00125045
1.5376,0.00127163
1.5451,0.00129234
1.5526,0.00131258
1.5602,0.00133237
1.5677,0.00135172
1.5752,0.00137064
1.5827,0.00138914
1.5902,0.00140723
1.5977,0.00142491
1.6053,0.00144220
1.6128,0.00145910
1.6203,0.00147562
1.6278,0.00149178
1.6353,0.00150758
1.6429,0.00152302
1.6504,0.00153812
1.6579,0.00155288
1.6654,0.00156732
1.6729,0.00158143
1.6805,0.00159522
1.6880,0.00160871
1.6955,0.00162190
1.7030,0.00163479
1.7105,0.00164740
1.7180,0.00165973
1.7256,0.00167178
1.7331,0.00168356
1.7406,0.00169508
1.7481,0.00170634
1.7556,0.00171735
1.7632,0.00172811
1.7707,0.00173864
1.7782,0.00174893
1.7857,0.00175899
1.7932,0.00176883
1.8008,0.00177844
1.8083,0.00178784
1.8158,0.00179704
1.8233,0.00180602
1.8308,0.00181481
1.8383,0.00182340
1.8459,0.00183180
1.8534,0.00184002
1.8609,0.00184804
1.8684,0.00185589
1.8759,0.00186357
1.8835,0.00187107
1.8910,0.00187841
1.8985,0.00188558
1.9060,0.00189259
1.9135,0.00189945
1.9211,0.00190615
1.9286,0.00191271
1.9361,0.00191912
1.9436,0.00192538
1.9511,0.00193151
1.9586,0.00193749
1.9662,0.00194335
1.9737,0.00194907
1.9812,0.00195467
1.9887,0.00196014
1.9962,0.00196549
2.0038,0.00197072
2.0113,0.00197584
2.0188,0.00198084
2.0263,0.00198572
2.0338,0.00199050
2.0414,0.00199518
2.0489,0.00199974
2.0564,0.00200421
2.0639,0.00200858
2.0714,0.00201285
2.0789,0.00201702
2.0865,0.00202110
2.0940,0.00202509
2.1015,0.00202899
2.1090,0.00203281
2.1165,0.00203654
2.1241,0.00204018
2.1316,0.00204375
2.1391,0.00204723
2.1466,0.00205064
2.1541,0.00205397
2.1617,0.00205723
2.1692,0.00206041
2.1767,0.00206353
2.1842,0.00206657
2.1917,0.00206955
2.1992,0.00207246
2.2068,0.00207530
2.2143,0.00207808
2.2218,0.00208080
2.2293,0.00208346
2.2368,0.00208606
2.2444,0.00208860
2.2519,0.00209108
2.2594,0.00209351
2.2669,0.00209589
2.2744,0.00209821
2.2820,0.00210048
2.2895,0.00210270
2.2970,0.00210487
2.3045,0.00210699
2.3120,0.00210907
2.3195,0.00211110
2.3271,0.00211308
2.3346,0.00211502
2.3421,0.00211691
2.3496,0.00211877
2.3571,0.00212058
2.3647,0.00212235
2.3722,0.00212408
2.3797,0.00212577
2.3872,0.00212743
2.3947,0.00212905
2.4023,0.00213063
2.4098,0.00213218
2.4173,0.00213369
2.4248,0.00213517
2.4323,0.00213662
2.4398,0.00213803
2.4474,0.00213941
2.4549,0.00214076
2.4624,0.00214208
2.4699,0.00214338
2.4774,0.00214464
2.4850,0.00214587
2.4925,0.00214708
2.5000,0.00214826
