x_H,Cp
0.9398,0.521856
0.9774,0.546113
1.0150,0.568776
1.0526,0.589648
1.0902,0.608553
1.1278,0.625334
1.1654,0.639855
1.2030,0.505747
1.2406,0.515412
1.2782,0.522522
1.3158,0.527016
1.3534,0.528854
1.3910,0.528017
1.4286,0.524503
1.4662,0.518330
1.5038,0.509536
1.5414,0.498180
1.5789,0.484337
1.6165,0.468103
1.6541,0.449595
1.6917,0.428948
1.7293,0.406316
1.7669,0.381873
1.8045,0.355813
1.8421,0.328348
1.8797,0.299710
1.9173,0.270148
1.9549,0.239932
1.9925,0.209345
2.0301,0.178685
2.0677,0.148263
2.1053,0.118395
2.1429,0.089398
2.1805,0.061579
2.2180,0.035229
2.2556,0.010609
2.2932,-0.012063
2.3308,-0.032621
2.3684,-0.050964
2.4060,-0.067059
2.4436,-0.080944
2.4812,-0.092721
2.5188,-0.102554
2.5564,-0.110647
2.5940,-0.117234
2.6316,-0.122559
2.6692,-0.126862
2.7068,-0.130364
2.7444,-0.133259
2.7820,-0.135712
2.8195,-0.137853
2.8571,-0.139780
2.8947,-0.141568
2.9323,-0.143268
2.9699,-0.144913
3.0075,-0.146527
3.0451,-0.148122
3.0827,-0.149705
3.1203,-0.151283
3.1579,-0.152855
3.1955,-0.154424
3.2331,-0.155989
3.2707,-0.157550
3.3083,-0.159107
3.3459,-0.160658
3.3835,-0.162205
3.4211,-0.163744
3.4586,-0.165278
3.4962,-0.166803
3.5338,-0.168321
3.5714,-0.169830
3.6090,-0.171331
3.6466,-0.172821
3.6842,-0.174301
3.7218,-0.175770
3.7594,-0.177228
3.7970,-0.178674
3.8346,-0.180107
3.8722,-0.181527
3.9098,-0.182934
3.9474,-0.184326
3.9850,-0.185703
4.0226,-0.187065
4.0602,-0.188412
4.0977,-0.189742
4.1353,-0.191055
4.1729,-0.192351
4.2105,-0.193629
4.2481,-0.194888
4.2857,-0.196129
4.3233,-0.197351
4.3609,-0.198552
4.3985,-0.199734
4.4361,-0.200894
4.4737,-0.202034
4.5113,-0.056902
4.5489,-0.057997
4.5865,-0.059071
4.6241,-0.060121
4.6617,-0.061148
4.6992,-0.062152
4.7368,-0.063131
4.7744,-0.064086
4.8120,-0.065016
4.8496,-0.065921
4.8872,-0.066801
4.9248,-0.067654
4.9624,-0.068481
5.0000,-0.069282
5.0376,-0.070056
5.0752,-0.070803
5.1128,-0.071522
5.1504,-0.072214
5.1880,-0.072877
5.2256,-0.073513
5.2632,-0.074120
5.3008,-0.074698
5.3383,-0.075247
5.3759,-0.075767
5.4135,-0.076258
5.4511,-0.076719
5.4887,-0.077150
5.5263,-0.077552
5.5639,-0.077924
5.6015,-0.078265
5.6391,-0.078576
5.6767,-0.078856
5.7143,-0.079106
5.7519,-0.079326
5.7895,-0.079514
5.8271,-0.079672
5.8647,-0.079799
5.9023,-0.079895
5.9398,-0.079960
5.9774,-0.079994
6.0150,-0.079998
6.0526,-0.079970
6.0902,-0.079911
6.1278,-0.079821
6.1654,-0.079700
6.2030,-0.079548
6.2406,-0.079366
6.2782,-0.079153
6.3158,-0.078909
6.3534,-0.078634
6.3910,-0.078330
6.4286,-0.077994
6.4662,-0.077629
6.5038,-0.077233
6.5414,-0.076808
6.5789,-0.076352
6.6165,-0.075868
6.6541,-0.075353
6.6917,-0.074810
6.7293,-0.074237
6.7669,-0.073636
6.8045,-0.073007
6.8421,-0.072349
6.8797,-0.071663
6.9173,-0.070949
6.9549,-0.070207
6.9925,-0.069439
7.0301,-0.068644
7.0677,-0.067822
7.1053,-0.066973
7.1429,-0.066099
7.1805,-0.065199
7.2180,-0.064274
7.2556,-0.063324
7.2932,-0.062350
7.3308,-0.061351
7.3684,-0.060329
7.4060,-0.059283
7.4436,-0.058214
7.4812,-0.057123
7.5188,-0.056009
7.5564,-0.054874
7.5940,-0.053717
7.6316,-0.052540
7.6692,-0.051343
7.7068,-0.050125
7.7444,-0.048888
7.7820,-0.047632
7.8195,-0.046358
7.8571,-0.045066
7.8947,-0.043756
7.9323,-0.042429
7.9699,-0.041086
8.0075,-0.039727
8.0451,-0.038352
8.0827,-0.036963
8.1203,-0.035560
8.1579,-0.034142
8.1955,-0.032711
8.2331,-0.031268
8.2707,-0.029813
8.3083,-0.028346
8.3459,-0.026868
8.3835,-0.025379
8.4211,-0.023881
8.4586,-0.022374
8.4962,-0.020858
8.5338,-0.019333
8.5714,-0.017802
8.6090,-0.016263
8.6466,-0.014718
8.6842,-0.013168
8.7218,-0.011612
8.7594,-0.010052
8.7970,-0.008488
8.8346,-0.006920
8.8722,-0.005350
8.9098,-0.003778
8.9474,-0.002204
8.9850,-0.000630
9.0226,0.000945
9.0602,0.002519
9.0977,0.004093
9.1353,0.005664
9.1729,0.007234
9.2105,0.008801
9.2481,0.010364
9.2857,0.011923
9.3233,0.013478
9.3609,0.015028
9.3985,0.016571
9.4361,0.018109
9.4737,0.019639
9.5113,0.021161
9.5489,0.022676
9.5865,0.024182
9.6241,0.025678
9.6617,0.027164
9.6992,0.028640
9.7368,0.030105
9.7744,0.031558
9.8120,0.032999
9.8496,0.034427
9.8872,0.035841
9.9248,0.037242
9.9624,0.038629
10.0000,0.040000
